# File generated by CMD 3.9 (http://stev.oapd.inaf.it/cmd) on Thu Apr 16 20:41:04 UTC 2026
# isochrones based on PARSEC release v1.2S +  COLIBRI S_37 + S_35 + PR16
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS, 485, 5666 + Pastorelli al. (2020), MNRAS, in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0  period1  period2  period3  period4  pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.0152 0.01508 6.60000 0.5822691917 2.3086818028    0.582 -0.600  3.5543  3.972    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.31e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.271 7.036 8.215 5.964
0.0152 0.01508 6.60000 0.6000000238 2.3211213258    0.600 -0.579  3.5580  3.979    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.43e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.217 6.957 8.109 5.897
0.0152 0.01508 6.60000 0.6224079728 2.3356822262    0.622 -0.549  3.5635  3.987    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.61e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.143 6.845 7.958 5.803
0.0152 0.01508 6.60000 0.6499999762 2.3520353107    0.650 -0.516  3.5696  3.997    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -4.82e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 6.060 6.720 7.789 5.697
0.0152 0.01508 6.60000 0.6729136705 2.3644500106    0.673 -0.486  3.5751  4.004    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.03e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.985 6.607 7.639 5.604
0.0152 0.01508 6.60000 0.7000000477 2.3779267258    0.700 -0.453  3.5811  4.013    0  0.000  0.545     0.00     0.00     0.00     0.00     0.00 -1 -5.27e-14      0.00 7.092e-01 2.755e-01 2.746e-03 7.408e-04 6.719e-03 -1.000 1.527e-02 5.903 6.484 7.475 5.501
0.0152 0.01508 6.60000 0.7500000000 2.3998889087    0.750 -0.323  3.6222  4.077    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1  -6.4e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.577 5.893 6.654 5.044
0.0152 0.01508 6.60000 0.7780441046 2.4107960973    0.778 -0.297  3.6255  4.080    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.64e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.513 5.810 6.555 4.971
0.0152 0.01508 6.60000 0.8000000119 2.4187244405    0.800 -0.277  3.6280  4.082    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -6.84e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.463 5.746 6.479 4.914
0.0152 0.01508 6.60000 0.8380957246 2.4313541012    0.838 -0.246  3.6322  4.088    0  0.000  0.538     0.00     0.00     0.00     0.00     0.00 -1 -7.15e-14      0.00 7.092e-01 2.755e-01 2.710e-03 7.399e-04 6.720e-03 -1.000 1.527e-02 5.384 5.644 6.357 4.824
